age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
61,1,110.2647,0.04164,4.5914,87.308,91.899,96.49,101.082,105.673,110.265,114.856,119.448,124.039,128.63,5,0
62,1,110.8006,0.04172,4.6226,87.688,92.31,96.933,101.555,106.178,110.801,115.423,120.046,124.668,129.291,5,0
63,1,111.3338,0.0418,4.6538,88.065,92.719,97.373,102.026,106.68,111.334,115.988,120.641,125.295,129.949,5,0
64,1,111.8636,0.04187,4.6837,88.445,93.129,97.812,102.496,107.18,111.864,116.547,121.231,125.915,130.599,5,0
65,1,112.3895,0.04195,4.7147,88.816,93.531,98.245,102.96,107.675,112.39,117.104,121.819,126.534,131.248,5,0
66,1,112.911,0.04203,4.7456,89.183,93.928,98.674,103.42,108.165,112.911,117.657,122.402,127.148,131.894,5,0
67,1,113.428,0.04211,4.7765,89.546,94.322,99.099,103.875,108.652,113.428,118.204,122.981,127.757,132.534,5,0
68,1,113.941,0.04218,4.806,89.911,94.717,99.523,104.329,109.135,113.941,118.747,123.553,128.359,133.165,5,0
69,1,114.45,0.04226,4.8367,90.267,95.103,99.94,104.777,109.613,114.45,119.287,124.123,128.96,133.797,5,0
70,1,114.9547,0.04234,4.8672,90.619,95.486,100.353,105.22,110.088,114.955,119.822,124.689,129.556,134.423,5,0
71,1,115.4549,0.04241,4.8964,90.973,95.869,100.766,105.662,110.558,115.455,120.351,125.248,130.144,135.041,5,0
72,1,115.9509,0.04249,4.9268,91.317,96.244,101.171,106.097,111.024,115.951,120.878,125.804,130.731,135.658,6,0
73,1,116.4432,0.04257,4.957,91.658,96.615,101.572,106.529,111.486,116.443,121.4,126.357,131.314,136.271,6,0
74,1,116.9325,0.04264,4.986,92.002,96.988,101.974,106.96,111.946,116.932,121.919,126.905,131.891,136.877,6,0
75,1,117.4196,0.04272,5.0162,92.339,97.355,102.371,107.387,112.403,117.42,122.436,127.452,132.468,137.484,6,0
76,1,117.9046,0.0428,5.0463,92.673,97.719,102.766,107.812,112.858,117.905,122.951,127.997,133.044,138.09,6,0
77,1,118.388,0.04287,5.0753,93.012,98.087,103.162,108.237,113.313,118.388,123.463,128.539,133.614,138.689,6,0
78,1,118.87,0.04295,5.1055,93.343,98.448,103.554,108.659,113.765,118.87,123.975,129.081,134.186,139.292,6,0
79,1,119.3508,0.04303,5.1357,93.672,98.808,103.944,109.079,114.215,119.351,124.486,129.622,134.758,139.893,6,0
80,1,119.8303,0.04311,5.1659,94.001,99.167,104.333,109.499,114.664,119.83,124.996,130.162,135.328,140.494,6,0
81,1,120.3085,0.04318,5.1949,94.334,99.529,104.724,109.919,115.114,120.308,125.503,130.698,135.893,141.088,6,0
82,1,120.7853,0.04326,5.2252,94.659,99.885,105.11,110.335,115.56,120.785,126.01,131.236,136.461,141.686,6,0
83,1,121.2604,0.04334,5.2554,94.983,100.239,105.494,110.75,116.005,121.26,126.516,131.771,137.027,142.282,6,0
84,1,121.7338,0.04342,5.2857,95.305,100.591,105.877,111.162,116.448,121.734,127.019,132.305,137.591,142.877,7,0
85,1,122.2053,0.0435,5.3159,95.626,100.942,106.258,111.573,116.889,122.205,127.521,132.837,138.153,143.469,7,0
86,1,122.675,0.04358,5.3462,95.944,101.29,106.636,111.983,117.329,122.675,128.021,133.367,138.714,144.06,7,0
87,1,123.1429,0.04366,5.3764,96.261,101.637,107.014,112.39,117.766,123.143,128.519,133.896,139.272,144.649,7,0
88,1,123.6092,0.04374,5.4067,96.576,101.983,107.389,112.796,118.203,123.609,129.016,134.423,139.829,145.236,7,0
89,1,124.0736,0.04382,5.4369,96.889,102.326,107.763,113.2,118.637,124.074,129.511,134.947,140.384,145.821,7,0
90,1,124.5361,0.0439,5.4671,97.2,102.668,108.135,113.602,119.069,124.536,130.003,135.47,140.938,146.405,7,0
91,1,124.9964,0.04398,5.4973,97.51,103.007,108.504,114.002,119.499,124.996,130.494,135.991,141.488,146.986,7,0
92,1,125.4545,0.04406,5.5275,97.817,103.344,108.872,114.399,119.927,125.454,130.982,136.51,142.037,147.565,7,0
93,1,125.9104,0.04414,5.5577,98.122,103.68,109.237,114.795,120.353,125.91,131.468,137.026,142.583,148.141,7,0
94,1,126.364,0.04422,5.5878,98.425,104.013,109.601,115.188,120.776,126.364,131.952,137.54,143.127,148.715,7,0
95,1,126.8156,0.0443,5.6179,98.726,104.344,109.962,115.58,121.198,126.816,132.434,138.051,143.669,149.287,7,0
96,1,127.2651,0.04438,5.648,99.025,104.673,110.321,115.969,121.617,127.265,132.913,138.561,144.209,149.857,8,0
97,1,127.7129,0.04446,5.6781,99.322,105,110.679,116.357,122.035,127.713,133.391,139.069,144.747,150.425,8,0
98,1,128.159,0.04454,5.7082,99.618,105.326,111.034,116.743,122.451,128.159,133.867,139.575,145.284,150.992,8,0
99,1,128.6034,0.04462,5.7383,99.912,105.65,111.389,117.127,122.865,128.603,134.342,140.08,145.818,151.557,8,0
100,1,129.0466,0.0447,5.7684,100.205,105.973,111.741,117.51,123.278,129.047,134.815,140.583,146.352,152.12,8,0
101,1,129.4887,0.04478,5.7985,100.496,106.295,112.093,117.892,123.69,129.489,135.287,141.086,146.884,152.683,8,0
102,1,129.93,0.04487,5.83,100.78,106.61,112.44,118.27,124.1,129.93,135.76,141.59,147.42,153.25,8,0
103,1,130.3705,0.04495,5.8602,101.07,106.93,112.79,118.65,124.51,130.37,136.231,142.091,147.951,153.811,8,0
104,1,130.8103,0.04503,5.8904,101.358,107.249,113.139,119.03,124.92,130.81,136.701,142.591,148.481,154.372,8,0
105,1,131.2495,0.04511,5.9207,101.646,107.567,113.488,119.408,125.329,131.25,137.17,143.091,149.011,154.932,8,0
106,1,131.6884,0.04519,5.951,101.933,107.884,113.835,119.786,125.737,131.688,137.639,143.59,149.541,155.492,8,0
107,1,132.1269,0.04527,5.9814,102.22,108.201,114.183,120.164,126.146,132.127,138.108,144.09,150.071,156.052,8,0
108,1,132.5652,0.04535,6.0118,102.506,108.518,114.53,120.542,126.553,132.565,138.577,144.589,150.601,156.613,9,0
109,1,133.0031,0.04543,6.0423,102.791,108.834,114.876,120.918,126.961,133.003,139.045,145.088,151.13,157.172,9,0
110,1,133.4404,0.04551,6.0729,103.076,109.149,115.222,121.295,127.368,133.44,139.513,145.586,151.659,157.732,9,0
111,1,133.877,0.04559,6.1035,103.36,109.463,115.567,121.67,127.774,133.877,139.98,146.084,152.187,158.291,9,0
112,1,134.313,0.04566,6.1327,103.649,109.782,115.915,122.048,128.18,134.313,140.446,146.578,152.711,158.844,9,0
113,1,134.7483,0.04574,6.1634,103.931,110.095,116.258,122.422,128.585,134.748,140.912,147.075,153.238,159.402,9,0
114,1,135.1829,0.04582,6.1941,104.212,110.407,116.601,122.795,128.989,135.183,141.377,147.571,153.765,159.959,9,0
115,1,135.6168,0.04589,6.2235,104.5,110.723,116.946,123.17,129.393,135.617,141.84,148.064,154.287,160.511,9,0
116,1,136.0501,0.04597,6.2542,104.779,111.033,117.287,123.542,129.796,136.05,142.304,148.559,154.813,161.067,9,0
117,1,136.4829,0.04604,6.2837,105.065,111.348,117.632,123.916,130.199,136.483,142.767,149.05,155.334,161.618,9,0
118,1,136.9153,0.04612,6.3145,105.343,111.657,117.972,124.286,130.601,136.915,143.23,149.544,155.859,162.173,9,0
119,1,137.3474,0.04619,6.3441,105.627,111.971,118.315,124.659,131.003,137.347,143.691,150.036,156.38,162.724,9,0
120,1,137.7795,0.04626,6.3737,105.911,112.285,118.658,125.032,131.406,137.78,144.153,150.527,156.901,163.274,10,0
121,1,138.2119,0.04633,6.4034,106.195,112.598,119.002,125.405,131.809,138.212,144.615,151.019,157.422,163.825,10,0
122,1,138.6452,0.0464,6.4331,106.48,112.913,119.346,125.779,132.212,138.645,145.078,151.511,157.945,164.378,10,0
123,1,139.0797,0.04647,6.463,106.765,113.228,119.691,126.154,132.617,139.08,145.543,152.006,158.469,164.932,10,0
124,1,139.5158,0.04654,6.4931,107.05,113.544,120.037,126.53,133.023,139.516,146.009,152.502,158.995,165.488,10,0
125,1,139.954,0.04661,6.5233,107.338,113.861,120.384,126.907,133.431,139.954,146.477,153.001,159.524,166.047,10,0
126,1,140.3948,0.04667,6.5522,107.634,114.186,120.738,127.29,133.843,140.395,146.947,153.499,160.051,166.604,10,0
127,1,140.8387,0.04674,6.5828,107.925,114.507,121.09,127.673,134.256,140.839,147.422,154.004,160.587,167.17,10,0
128,1,141.2859,0.0468,6.6122,108.225,114.837,121.449,128.062,134.674,141.286,147.898,154.51,161.122,167.735,10,0
129,1,141.7368,0.04686,6.6418,108.528,115.17,121.811,128.453,135.095,141.737,148.379,155.02,161.662,168.304,10,0
130,1,142.1916,0.04692,6.6716,108.833,115.505,122.177,128.848,135.52,142.192,148.863,155.535,162.206,168.878,10,0
131,1,142.6501,0.04698,6.7017,109.142,115.843,122.545,129.247,135.948,142.65,149.352,156.054,162.755,169.457,10,0
132,1,143.1126,0.04703,6.7306,109.46,116.19,122.921,129.651,136.382,143.113,149.843,156.574,163.304,170.035,11,0
133,1,143.5795,0.04709,6.7612,109.774,116.535,123.296,130.057,136.818,143.58,150.341,157.102,163.863,170.624,11,0
134,1,144.0511,0.04714,6.7906,110.098,116.889,123.679,130.47,137.261,144.051,150.842,157.632,164.423,171.213,11,0
135,1,144.5276,0.04719,6.8203,110.426,117.247,124.067,130.887,137.707,144.528,151.348,158.168,164.988,171.809,11,0
136,1,145.0093,0.04723,6.8488,110.765,117.614,124.463,131.312,138.161,145.009,151.858,158.707,165.556,172.404,11,0
137,1,145.4964,0.04728,6.8791,111.101,117.98,124.859,131.738,138.617,145.496,152.375,159.255,166.134,173.013,11,0
138,1,145.9891,0.04732,6.9082,111.448,118.356,125.264,132.173,139.081,145.989,152.897,159.806,166.714,173.622,11,0
139,1,146.4878,0.04736,6.9377,111.799,118.737,125.675,132.612,139.55,146.488,153.425,160.363,167.301,174.238,11,0
140,1,146.9927,0.0474,6.9675,112.155,119.123,126.09,133.058,140.025,146.993,153.96,160.928,167.895,174.863,11,0
141,1,147.5041,0.04744,6.9976,112.516,119.514,126.511,133.509,140.507,147.504,154.502,161.499,168.497,175.494,11,0
142,1,148.0224,0.04747,7.0266,112.889,119.916,126.943,133.969,140.996,148.022,155.049,162.076,169.102,176.129,11,0
143,1,148.5478,0.0475,7.056,113.268,120.324,127.38,134.436,141.492,148.548,155.604,162.66,169.716,176.772,11,0
144,1,149.0807,0.04753,7.0858,113.652,120.737,127.823,134.909,141.995,149.081,156.167,163.252,170.338,177.424,12,0
145,1,149.6212,0.04755,7.1145,114.049,121.163,128.278,135.392,142.507,149.621,156.736,163.85,170.965,178.079,12,0
146,1,150.1694,0.04758,7.1451,114.444,121.589,128.734,135.879,143.024,150.169,157.314,164.46,171.605,178.75,12,0
147,1,150.7256,0.04759,7.173,114.86,122.033,129.207,136.38,143.553,150.726,157.899,165.072,172.245,179.418,12,0
148,1,151.2899,0.04761,7.2029,115.275,122.478,129.681,136.884,144.087,151.29,158.493,165.696,172.899,180.102,12,0
149,1,151.8623,0.04762,7.2317,115.704,122.936,130.167,137.399,144.631,151.862,159.094,166.326,173.557,180.789,12,0
150,1,152.4425,0.04763,7.2608,116.138,123.399,130.66,137.921,145.182,152.442,159.703,166.964,174.225,181.486,12,0
151,1,153.0298,0.04763,7.2888,116.586,123.875,131.163,138.452,145.741,153.03,160.319,167.607,174.896,182.185,12,0
152,1,153.6234,0.04764,7.3186,117.03,124.349,131.668,138.986,146.305,153.623,160.942,168.261,175.579,182.898,12,0
153,1,154.2223,0.04763,7.3456,117.494,124.84,132.185,139.531,146.877,154.222,161.568,168.914,176.259,183.605,12,0
154,1,154.8258,0.04763,7.3744,117.954,125.328,132.703,140.077,147.451,154.826,162.2,169.575,176.949,184.323,12,0
155,1,155.4329,0.04762,7.4017,118.424,125.826,133.228,140.629,148.031,155.433,162.835,170.236,177.638,185.04,12,0
156,1,156.0426,0.0476,7.4276,118.904,126.332,133.76,141.187,148.615,156.043,163.47,170.898,178.325,185.753,13,0
157,1,156.6539,0.04758,7.4536,119.386,126.84,134.293,141.747,149.2,156.654,164.107,171.561,179.015,186.468,13,0
158,1,157.266,0.04756,7.4796,119.868,127.348,134.827,142.307,149.786,157.266,164.746,172.225,179.705,187.184,13,0
159,1,157.8775,0.04754,7.5055,120.35,127.856,135.361,142.867,150.372,157.878,165.383,172.888,180.394,187.899,13,0
160,1,158.4871,0.04751,7.5297,120.838,128.368,135.898,143.428,150.957,158.487,166.017,173.547,181.076,188.606,13,0
161,1,159.0937,0.04747,7.5522,121.333,128.885,136.437,143.989,151.542,159.094,166.646,174.198,181.75,189.302,13,0
162,1,159.6962,0.04744,7.576,121.816,129.392,136.968,144.544,152.12,159.696,167.272,174.848,182.424,190,13,0
163,1,160.2939,0.0474,7.5979,122.304,129.902,137.5,145.098,152.696,160.294,167.892,175.49,183.088,190.686,13,0
164,1,160.8861,0.04735,7.618,122.796,130.414,138.032,145.65,153.268,160.886,168.504,176.122,183.74,191.358,13,0
165,1,161.472,0.0473,7.6376,123.284,130.921,138.559,146.197,153.834,161.472,169.11,176.747,184.385,192.023,13,0
166,1,162.0505,0.04725,7.6569,123.766,131.423,139.08,146.737,154.394,162.05,169.707,177.364,185.021,192.678,13,0
167,1,162.6207,0.0472,7.6757,124.242,131.918,139.594,147.269,154.945,162.621,170.296,177.972,185.648,193.323,13,0
168,1,163.1816,0.04714,7.6924,124.72,132.412,140.104,147.797,155.489,163.182,170.874,178.566,186.259,193.951,14,0
169,1,163.7321,0.04707,7.7069,125.198,132.905,140.611,148.318,156.025,163.732,171.439,179.146,186.853,194.56,14,0
170,1,164.2717,0.04701,7.7224,125.66,133.382,141.104,148.827,156.549,164.272,171.994,179.717,187.439,195.161,14,0
171,1,164.7994,0.04694,7.7357,126.121,133.857,141.592,149.328,157.064,164.799,172.535,180.271,188.006,195.742,14,0
172,1,165.3145,0.04687,7.7483,126.573,134.321,142.07,149.818,157.566,165.314,173.063,180.811,188.559,196.308,14,0
173,1,165.8165,0.04679,7.7586,127.024,134.782,142.541,150.299,158.058,165.816,173.575,181.334,189.092,196.851,14,0
174,1,166.305,0.04671,7.7681,127.464,135.233,143.001,150.769,158.537,166.305,174.073,181.841,189.609,197.377,14,0
175,1,166.7799,0.04663,7.7769,127.895,135.672,143.449,151.226,159.003,166.78,174.557,182.334,190.111,197.888,14,0
176,1,167.2415,0.04655,7.7851,128.316,136.101,143.886,151.671,159.456,167.242,175.027,182.812,190.597,198.382,14,0
177,1,167.6899,0.04646,7.7909,128.736,136.526,144.317,152.108,159.899,167.69,175.481,183.272,191.063,198.853,14,0
178,1,168.1255,0.04637,7.796,129.146,136.942,144.738,152.534,160.33,168.126,175.921,183.717,191.513,199.309,14,0
179,1,168.5482,0.04628,7.8004,129.546,137.347,145.147,152.947,160.748,168.548,176.349,184.149,191.949,199.75,14,0
180,1,168.958,0.04619,7.8042,129.937,137.741,145.545,153.35,161.154,168.958,176.762,184.566,192.371,200.175,15,0
181,1,169.3549,0.04609,7.8056,130.327,138.133,145.938,153.744,161.549,169.355,177.16,184.966,192.772,200.577,15,0
182,1,169.7389,0.04599,7.8063,130.707,138.514,146.32,154.126,161.933,169.739,177.545,185.351,193.158,200.964,15,0
183,1,170.1099,0.04589,7.8063,131.078,138.885,146.691,154.497,162.304,170.11,177.916,185.723,193.529,201.335,15,0
184,1,170.468,0.04579,7.8057,131.439,139.245,147.051,154.857,162.662,170.468,178.274,186.079,193.885,201.691,15,0
185,1,170.8136,0.04569,7.8045,131.791,139.596,147.4,155.205,163.009,170.814,178.618,186.423,194.227,202.031,15,0
186,1,171.1468,0.04559,7.8026,132.134,139.936,147.739,155.542,163.344,171.147,178.949,186.752,194.555,202.357,15,0
187,1,171.468,0.04548,7.7984,132.476,140.275,148.073,155.871,163.67,171.468,179.266,187.065,194.863,202.661,15,0
188,1,171.7773,0.04538,7.7953,132.801,140.596,148.392,156.187,163.982,171.777,179.573,187.368,195.163,202.958,15,0
189,1,172.0748,0.04527,7.7898,133.126,140.915,148.705,156.495,164.285,172.075,179.865,187.654,195.444,203.234,15,0
190,1,172.3606,0.04516,7.7838,133.442,141.225,149.009,156.793,164.577,172.361,180.144,187.928,195.712,203.496,15,0
191,1,172.6345,0.04506,7.7789,133.74,141.519,149.298,157.077,164.856,172.634,180.413,188.192,195.971,203.75,15,0
192,1,172.8967,0.04495,7.7717,134.038,141.81,149.582,157.353,165.125,172.897,180.668,188.44,196.212,203.984,16,0
193,1,173.147,0.04484,7.7639,134.327,142.091,149.855,157.619,165.383,173.147,180.911,188.675,196.439,204.203,16,0
194,1,173.3856,0.04473,7.7555,134.608,142.363,150.119,157.875,165.63,173.386,181.141,188.897,196.652,204.408,16,0
195,1,173.6126,0.04462,7.7466,134.88,142.626,150.373,158.119,165.866,173.613,181.359,189.106,196.852,204.599,16,0
196,1,173.828,0.04451,7.7371,135.143,142.88,150.617,158.354,166.091,173.828,181.565,189.302,197.039,204.776,16,0
197,1,174.0321,0.0444,7.727,135.397,143.124,150.851,158.578,166.305,174.032,181.759,189.486,197.213,204.94,16,0
198,1,174.2251,0.04429,7.7164,135.643,143.359,151.076,158.792,166.509,174.225,181.942,189.658,197.374,205.091,16,0
199,1,174.4071,0.04418,7.7053,135.881,143.586,151.291,158.996,166.702,174.407,182.112,189.818,197.523,205.228,16,0
200,1,174.5784,0.04407,7.6937,136.11,143.804,151.497,159.191,166.885,174.578,182.272,189.966,197.659,205.353,16,0
201,1,174.7392,0.04396,7.6815,136.332,144.013,151.695,159.376,167.058,174.739,182.421,190.102,197.784,205.465,16,0
202,1,174.8896,0.04385,7.6689,136.545,144.214,151.883,159.552,167.221,174.89,182.559,190.227,197.896,205.565,16,0
203,1,175.0301,0.04375,7.6576,136.742,144.4,152.057,159.715,167.373,175.03,182.688,190.345,198.003,205.66,16,0
204,1,175.1609,0.04364,7.644,136.941,144.585,152.229,159.873,167.517,175.161,182.805,190.449,198.093,205.737,17,0
205,1,175.2824,0.04353,7.63,137.132,144.762,152.392,160.022,167.652,175.282,182.912,190.542,198.173,205.803,17,0
206,1,175.3951,0.04343,7.6174,137.308,144.925,152.543,160.16,167.778,175.395,183.013,190.63,198.247,205.865,17,0
207,1,175.4995,0.04332,7.6026,137.486,145.089,152.692,160.294,167.897,175.5,183.102,190.705,198.307,205.91,17,0
208,1,175.5959,0.04322,7.5893,137.65,145.239,152.828,160.417,168.007,175.596,183.185,190.774,198.364,205.953,17,0
209,1,175.685,0.04311,7.5738,137.816,145.39,152.964,160.537,168.111,175.685,183.259,190.833,198.406,205.98,17,0
210,1,175.7672,0.04301,7.5597,137.968,145.528,153.088,160.648,168.207,175.767,183.327,190.887,198.446,206.006,17,0
211,1,175.8432,0.04291,7.5454,138.116,145.661,153.207,160.752,168.298,175.843,183.389,190.934,198.479,206.025,17,0
212,1,175.9133,0.04281,7.5308,138.259,145.79,153.321,160.852,168.382,175.913,183.444,190.975,198.506,206.037,17,0
213,1,175.9781,0.04271,7.516,138.398,145.914,153.43,160.946,168.462,175.978,183.494,191.01,198.526,206.042,17,0
214,1,176.038,0.04261,7.501,138.533,146.034,153.535,161.036,168.537,176.038,183.539,191.04,198.541,206.042,17,0
215,1,176.0935,0.04251,7.4857,138.665,146.151,153.636,161.122,168.608,176.094,183.579,191.065,198.551,206.036,17,0
216,1,176.1449,0.04241,7.4703,138.793,146.264,153.734,161.204,168.675,176.145,183.615,191.086,198.556,206.026,18,0
217,1,176.1925,0.04232,7.4565,138.91,146.367,153.823,161.28,168.736,176.192,183.649,191.105,198.562,206.018,18,0
218,1,176.2368,0.04222,7.4407,139.033,146.474,153.915,161.355,168.796,176.237,183.678,191.118,198.559,206,18,0
219,1,176.2779,0.04213,7.4266,139.145,146.572,153.998,161.425,168.851,176.278,183.704,191.131,198.558,205.984,18,0
220,1,176.3162,0.04204,7.4123,139.255,146.667,154.079,161.492,168.904,176.316,183.729,191.141,198.553,205.966,18,0
221,1,176.3518,0.04195,7.398,139.362,146.76,154.158,161.556,168.954,176.352,183.75,191.148,198.546,205.944,18,0
222,1,176.3851,0.04185,7.3817,139.477,146.858,154.24,161.622,169.003,176.385,183.767,191.149,198.53,205.912,18,0
223,1,176.4162,0.04177,7.3689,139.572,146.941,154.309,161.678,169.047,176.416,183.785,191.154,198.523,205.892,18,0
224,1,176.4453,0.04168,7.3542,139.674,147.028,154.383,161.737,169.091,176.445,183.8,191.154,198.508,205.862,18,0
225,1,176.4724,0.04159,7.3395,139.775,147.114,154.454,161.793,169.133,176.472,183.812,191.151,198.491,205.83,18,0
226,1,176.4976,0.0415,7.3247,139.874,147.199,154.524,161.848,169.173,176.498,183.822,191.147,198.472,205.796,18,0
227,1,176.5211,0.04142,7.3115,139.964,147.275,154.587,161.898,169.21,176.521,183.833,191.144,198.456,205.767,18,0
